,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
238,3.75,1.4,7.0,-1.25,1.36,8.0,4.1,-1.25,8.0,7.5,1.36,8.0,4.0,1.36,2.4,2.1,1.36,7.0,1.74,1.4,1.53,6.0,2.0,1.37,4.2,1.8,2.1,1.55,-1.25,2.25,3.9,4.0,4.25,1.8,Schalke 04,Nurnberg,Schalke 04_Nurnberg_2004
239,3.25,1.9,3.4,-0.5,1.95,3.6,3.35,-0.5,3.4,3.75,1.91,3.85,3.1,1.9,2.25,1.92,1.9,3.6,1.92,1.9,1.61,3.5,1.76,1.9,3.25,1.9,2.0,1.65,-0.5,2.05,3.1,3.25,3.25,1.9,Werder Bremen,Stuttgart,Werder Bremen_Stuttgart_2004
240,3.3,3.6,1.8,0.5,3.75,1.85,3.5,0.5,1.83,1.8,3.75,1.85,3.4,3.75,2.3,1.84,3.6,1.75,2.0,4.1,1.6,1.85,1.85,4.0,3.4,2.075,1.825,1.6,0.5,2.15,3.1,3.25,3.4,1.84,Wolfsburg,Bayern Munich,Wolfsburg_Bayern Munich_2004
241,3.2,2.4,2.75,0.0,2.3,2.8,3.35,0.0,2.62,2.7,2.25,2.9,3.2,2.3,2.05,2.06,2.3,2.6,1.78,2.4,1.75,2.6,2.0,2.3,3.2,1.8,2.1,1.75,0.0,1.95,3.0,3.2,3.2,1.8,Dortmund,Hertha,Dortmund_Hertha_2004
242,3.4,1.8,4.33,-0.5,1.83,4.33,3.4,-0.5,4.0,4.0,1.67,4.3,3.25,1.8,2.2,2.06,1.72,4.0,1.78,1.8,1.65,3.8,1.87,1.8,3.3,1.85,2.05,1.71,-0.5,2.0,3.1,3.4,3.3,1.8,M'gladbach,Bochum,M'gladbach_Bochum_2004
243,4.5,1.3,10.0,-1.5,1.25,8.5,5.0,-1.5,10.0,8.5,1.25,11.0,4.5,1.28,2.3,1.86,1.25,10.0,1.98,1.25,1.6,8.0,1.9,1.25,5.5,2.0,1.9,1.55,-1.5,2.25,4.2,4.5,5.0,1.9,Bayern Munich,M'gladbach,Bayern Munich_M'gladbach_2004
244,3.3,2.0,3.2,-0.5,2.0,3.4,3.35,-0.5,2.87,3.25,2.0,3.5,3.25,2.0,2.05,1.86,2.1,3.3,1.98,2.0,1.75,3.2,2.05,2.0,3.3,1.95,1.95,1.65,-0.25,2.05,3.1,3.2,3.3,1.75,Bochum,Hannover,Bochum_Hannover_2004
245,3.1,2.3,2.6,0.0,2.62,2.62,3.35,0.0,2.62,2.62,2.38,2.75,3.2,2.37,2.37,1.92,2.37,2.65,1.92,2.35,1.55,2.7,1.95,2.4,3.1,2.0,1.9,1.6,0.0,2.15,3.0,3.2,3.25,1.85,Hamburg,Werder Bremen,Hamburg_Werder Bremen_2004
246,4.5,1.27,10.0,-1.5,1.25,9.5,5.0,-1.5,10.0,7.5,1.25,11.0,4.33,1.33,2.37,2.02,1.25,10.0,1.82,1.25,1.55,8.5,2.0,1.25,5.25,1.875,2.025,1.55,-1.5,2.25,4.3,4.5,5.0,1.8,Hertha,Freiburg,Hertha_Freiburg_2004
247,3.25,1.9,4.0,-0.5,1.8,4.0,3.5,-0.5,3.8,4.0,1.73,4.2,3.25,1.8,2.37,2.04,1.8,4.1,1.8,1.75,1.55,3.5,1.85,1.83,3.4,1.8,2.1,1.6,-0.5,2.15,3.1,3.4,3.3,1.83,Leverkusen,Dortmund,Leverkusen_Dortmund_2004
248,3.4,2.0,3.2,-0.5,2.0,3.4,3.25,-0.5,3.1,3.5,2.0,3.75,3.25,1.9,2.1,2.0,1.95,3.25,1.84,2.05,1.7,3.2,1.76,1.97,3.3,1.95,1.95,1.65,-0.5,2.05,3.1,3.2,3.3,1.97,Mainz,Wolfsburg,Mainz_Wolfsburg_2004
249,3.25,2.3,2.8,-0.25,2.1,3.25,3.35,-0.25,2.87,3.0,2.2,2.9,3.0,2.25,2.0,1.8,2.15,2.8,2.04,2.25,1.8,2.7,1.8,2.3,3.2,2.05,1.85,1.71,-0.25,2.0,3.0,3.2,3.2,2.0,Stuttgart,Schalke 04,Stuttgart_Schalke 04_2004
250,3.3,2.1,3.0,-0.25,1.9,3.75,3.3,-0.25,3.0,3.0,2.1,3.4,3.25,2.1,2.0,2.02,2.05,3.0,1.82,2.15,1.8,3.1,2.0,2.05,3.3,1.85,2.05,1.75,-0.25,1.95,3.0,3.2,3.25,1.8,Bielefeld,Kaiserslautern,Bielefeld_Kaiserslautern_2004
251,3.3,2.2,3.2,-0.25,2.0,3.4,3.35,-0.25,3.1,3.25,2.0,3.4,3.25,2.0,2.1,1.96,2.0,3.3,1.88,2.0,1.7,2.9,1.95,2.05,3.3,1.9,2.0,1.65,-0.25,2.05,3.0,3.2,3.2,1.85,Nurnberg,Hansa Rostock,Nurnberg_Hansa Rostock_2004
252,3.6,1.5,6.0,-1.0,1.5,6.0,3.9,-1.0,5.5,6.0,1.5,6.0,3.4,1.53,2.0,1.96,1.5,5.6,1.88,1.5,1.8,5.0,1.9,1.55,3.75,1.9,2.0,1.65,-1.0,2.05,3.7,3.4,3.6,1.9,Dortmund,Bielefeld,Dortmund_Bielefeld_2004
253,3.4,4.0,1.73,0.5,4.2,1.73,3.6,0.5,1.72,1.72,4.0,1.8,3.5,4.0,2.1,1.72,4.0,1.7,2.12,4.2,1.7,1.75,1.8,4.2,3.5,2.15,1.75,1.65,0.5,2.05,3.2,3.4,3.4,1.88,Freiburg,Leverkusen,Freiburg_Leverkusen_2004
254,3.5,4.6,1.67,0.75,4.75,1.67,3.5,0.75,1.61,1.61,4.33,1.67,3.4,5.0,2.0,1.78,4.5,1.65,2.06,4.75,1.8,1.6,1.85,5.0,3.5,2.1,1.8,1.71,0.75,2.0,3.4,3.4,3.5,1.95,Hannover,Bayern Munich,Hannover_Bayern Munich_2004
255,3.3,3.5,1.8,0.5,3.75,1.85,3.45,0.5,1.8,1.8,3.75,1.85,3.25,4.0,2.0,1.86,3.75,1.9,1.98,3.5,1.8,1.9,1.85,3.95,3.4,2.1,1.8,1.71,0.5,2.0,3.1,3.25,3.4,1.83,Hansa Rostock,Stuttgart,Hansa Rostock_Stuttgart_2004
