,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
221,0,Stoke,10,3,0,0,1,M Dean,0,0,1,13,H,3,2016-01-23,Leicester,E0,2,5,8,15,H,4,Leicester_Stoke_2015
222,0,Southampton,11,0,0,1,0,M Jones,0,0,0,8,A,7,2016-01-23,Man United,E0,2,1,4,8,D,4,Man United_Southampton_2015
223,0,Liverpool,10,4,0,5,2,L Mason,0,1,1,14,A,13,2016-01-23,Norwich,E0,7,5,3,6,H,3,Norwich_Liverpool_2015
224,1,Bournemouth,5,1,0,1,1,R East,0,1,1,9,D,15,2016-01-23,Sunderland,E0,5,5,3,10,D,4,Sunderland_Bournemouth_2015
225,2,Newcastle,10,2,0,1,0,A Marriner,0,0,1,12,H,11,2016-01-23,Watford,E0,2,5,2,13,D,7,Watford_Newcastle_2015
226,0,Aston Villa,7,0,0,0,0,R Madley,0,0,1,13,D,15,2016-01-23,West Brom,E0,4,0,2,4,D,6,West Brom_Aston Villa_2015
227,2,Man City,11,2,0,2,1,C Pawson,0,1,3,15,D,16,2016-01-23,West Ham,E0,3,3,5,10,D,2,West Ham_Man City_2015
228,1,Chelsea,14,0,0,1,0,M Clattenburg,1,1,3,13,A,12,2016-01-24,Arsenal,E0,6,1,6,9,A,7,Arsenal_Chelsea_2015
229,0,Swansea,5,1,0,2,1,A Taylor,0,2,3,12,A,7,2016-01-24,Everton,E0,5,2,7,20,A,1,Everton_Swansea_2015
230,2,Southampton,11,0,0,0,0,L Mason,0,0,1,19,D,14,2016-02-02,Arsenal,E0,3,11,13,21,D,3,Arsenal_Southampton_2015
231,3,Bournemouth,11,1,0,2,1,M Jones,0,1,4,15,A,8,2016-02-02,Crystal Palace,E0,4,3,5,14,D,3,Crystal Palace_Bournemouth_2015
232,0,Liverpool,6,2,0,0,0,A Marriner,0,0,1,7,H,14,2016-02-02,Leicester,E0,2,6,3,13,D,12,Leicester_Liverpool_2015
233,2,Stoke,13,3,0,0,2,R East,0,0,1,13,H,10,2016-02-02,Man United,E0,0,5,2,15,H,5,Man United_Stoke_2015
234,2,Tottenham,8,0,0,3,0,K Friend,0,2,2,9,A,17,2016-02-02,Norwich,E0,6,2,6,10,A,8,Norwich_Tottenham_2015
235,1,Man City,6,0,0,1,0,S Attwell,0,1,4,15,A,6,2016-02-02,Sunderland,E0,2,2,8,11,A,4,Sunderland_Man City_2015
236,0,Swansea,12,1,0,1,0,N Swarbrick,0,0,0,13,D,18,2016-02-02,West Brom,E0,4,7,7,17,D,7,West Brom_Swansea_2015
237,3,Aston Villa,9,2,1,0,0,J Moss,0,0,0,11,H,6,2016-02-02,West Ham,E0,2,6,5,25,D,5,West Ham_Aston Villa_2015
238,1,Newcastle,8,3,1,0,1,C Pawson,0,0,2,15,H,7,2016-02-03,Everton,E0,3,7,3,18,H,3,Everton_Newcastle_2015
239,2,Chelsea,10,0,0,0,0,M Dean,0,0,1,13,D,12,2016-02-03,Watford,E0,4,3,7,12,D,7,Watford_Chelsea_2015
