,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
217,3.25,2.35,2.2,0.0,2.6,2.4,2.38,0.0,2.4,2.4,2.8,2.42,3.2,2.6,1.8,1.85,2.5,2.62,3.2,2.0,2.0,2.35,1.85,2.62,3.2,2.05,1.8,1.95,0.0,1.75,3.0,3.2,3.25,1.95,Crewe,Sunderland,Crewe_Sunderland_2003
218,3.2,2.2,2.75,-0.25,2.3,2.7,2.75,-0.25,2.8,2.7,2.2,2.75,3.2,2.3,2.1,2.0,2.2,2.25,3.25,1.85,1.7,2.6,1.8,2.3,3.2,2.05,1.8,1.71,-0.25,2.0,3.0,3.25,3.3,2.0,Ipswich,Sheffield United,Ipswich_Sheffield United_2003
219,3.3,1.65,5.0,-0.75,1.7,4.5,4.5,-0.75,4.5,4.33,1.62,4.6,3.25,1.72,1.95,1.8,1.66,1.67,3.4,2.05,1.85,3.9,1.85,1.71,3.3,2.1,1.75,1.79,-0.75,1.9,3.2,3.25,3.35,1.95,Millwall,Derby,Millwall_Derby_2003
220,3.2,2.2,2.75,-0.25,2.25,2.75,2.75,-0.25,2.75,2.75,2.2,2.82,3.25,2.25,1.85,1.85,2.25,2.25,3.25,2.0,1.95,2.6,1.77,2.28,3.25,2.1,1.75,1.79,-0.25,1.9,3.0,3.25,3.25,2.05,Preston,Norwich,Preston_Norwich_2003
221,3.3,1.85,3.75,-0.5,1.83,3.8,3.75,-0.75,3.6,3.75,1.83,3.75,3.25,1.83,1.85,1.75,1.83,1.83,3.25,2.1,1.95,3.2,1.95,1.85,3.25,1.875,1.975,1.79,-0.5,1.9,3.1,3.2,3.4,1.85,Stoke,Bradford,Stoke_Bradford_2003
222,3.3,1.9,3.4,-0.5,1.85,3.75,3.75,-0.25,3.3,3.75,1.91,3.4,3.25,1.83,1.95,1.9,1.9,1.83,3.25,1.95,1.85,3.0,2.0,2.0,3.25,2.1,1.75,1.75,-0.25,1.95,3.1,3.25,3.25,1.8,Walsall,Crystal Palace,Walsall_Crystal Palace_2003
223,3.2,2.4,2.38,0.0,2.7,2.3,2.25,0.0,2.25,2.37,2.75,2.32,3.2,2.62,1.8,1.8,2.75,2.75,3.25,2.05,2.0,2.3,1.85,2.75,3.2,1.95,1.9,1.95,0.0,1.75,3.0,3.0,3.25,1.95,Watford,West Ham,Watford_West Ham_2003
224,3.25,1.75,4.33,-0.5,1.75,4.2,4.33,-0.75,4.2,4.0,1.73,4.35,3.25,1.8,1.75,1.75,1.72,1.73,3.25,2.1,2.05,3.5,1.8,1.76,3.3,1.875,1.975,1.85,-0.75,1.85,3.2,3.2,3.3,2.0,West Brom,Reading,West Brom_Reading_2003
225,3.25,1.75,4.0,-0.5,1.73,4.33,4.33,-0.5,4.2,4.33,1.73,4.35,3.25,1.72,1.8,2.1,1.72,1.73,3.25,1.75,2.0,3.5,2.06,1.76,3.25,1.8,2.05,1.85,-0.5,1.85,3.2,3.4,3.3,1.76,Wigan,Nott'm Forest,Wigan_Nott'm Forest_2003
226,3.2,2.6,2.2,0.25,2.88,2.2,2.2,0.25,2.1,2.2,2.75,2.25,3.25,2.8,2.05,1.9,3.0,2.88,3.2,1.95,1.75,2.2,2.0,2.85,3.2,1.75,2.1,1.71,0.25,2.0,3.0,3.25,3.25,1.8,Wimbledon,Cardiff,Wimbledon_Cardiff_2003
227,3.1,2.35,2.38,0.0,2.5,2.5,2.38,0.0,2.4,2.5,2.6,2.5,3.2,2.5,1.9,1.9,2.6,2.62,3.2,1.95,1.9,2.35,1.9,2.55,3.2,1.9,1.95,1.85,0.0,1.85,3.0,3.2,3.2,1.9,Burnley,Reading,Burnley_Reading_2003
228,3.1,2.35,2.6,0.0,2.5,2.5,2.5,0.0,2.5,2.5,2.38,2.55,3.2,2.5,1.85,2.1,2.5,2.5,3.2,1.75,1.95,2.35,1.9,2.5,3.2,1.8,2.05,1.9,0.0,1.79,3.0,3.2,3.2,1.9,Cardiff,West Brom,Cardiff_West Brom_2003
229,3.5,1.6,6.0,-0.75,1.57,5.5,6.0,-0.75,5.0,5.5,1.5,5.5,3.4,1.57,2.0,1.95,1.57,1.5,3.5,1.9,1.8,4.2,1.9,1.6,3.4,1.9,1.95,1.79,-0.75,1.9,3.2,3.4,3.4,1.9,Norwich,Coventry,Norwich_Coventry_2003
230,3.2,2.0,3.0,-0.25,2.0,3.25,3.25,,3.0,3.0,2.1,3.1,3.25,2.1,1.9,,2.1,2.0,3.25,,1.9,2.9,1.95,2.1,3.25,1.875,1.975,1.85,-0.25,1.85,3.0,3.2,3.3,1.85,Stoke,Crystal Palace,Stoke_Crystal Palace_2003
231,3.4,3.4,1.8,0.5,4.0,1.8,1.8,0.5,1.72,1.8,3.75,1.8,3.25,4.0,2.0,1.75,4.0,4.0,3.25,2.1,1.8,1.8,1.8,4.05,3.25,1.975,1.875,1.79,0.5,1.9,3.1,3.25,3.35,2.0,Wimbledon,West Ham,Wimbledon_West Ham_2003
232,3.1,2.35,2.25,0.0,2.6,2.4,2.25,0.0,2.5,2.4,2.75,2.5,3.2,2.6,1.8,1.8,2.5,2.75,3.25,2.1,2.0,2.35,1.9,2.6,3.2,1.925,1.925,1.95,0.0,1.75,3.0,3.2,3.2,1.9,Bradford,Millwall,Bradford_Millwall_2003
233,3.2,2.2,2.8,-0.25,2.25,2.8,2.8,-0.25,3.0,2.8,2.2,2.9,3.25,2.2,2.0,2.0,2.1,2.2,3.25,1.85,1.8,2.6,1.85,2.2,3.2,2.0,1.85,1.75,-0.25,1.95,3.0,3.2,3.3,1.95,Cardiff,Ipswich,Cardiff_Ipswich_2003
234,3.1,2.2,3.0,-0.25,2.2,2.8,2.8,-0.25,2.8,2.8,2.1,2.9,3.25,2.2,1.9,1.95,2.25,2.2,3.25,1.9,1.9,2.6,1.9,2.25,3.25,1.925,1.925,1.85,-0.25,1.85,3.0,3.2,3.2,1.9,Crystal Palace,Coventry,Crystal Palace_Coventry_2003
