,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
214,0,Milton Keynes Dons,7,0,0,0,0,N Miller,0,0,5,23,D,6,2015-11-28,Wolves,E1,3,6,5,16,D,1,Wolves_Milton Keynes Dons_2015
215,3,Brentford,15,1,0,1,0,C Boyeson,0,1,2,15,D,11,2015-11-30,Bolton,E1,6,8,10,25,A,4,Bolton_Brentford_2015
216,1,QPR,11,0,0,1,0,A Madley,0,0,2,17,A,9,2015-12-03,Reading,E1,2,0,3,10,D,7,Reading_QPR_2015
217,1,Middlesbrough,7,0,0,2,0,T Robinson,0,0,2,13,A,15,2015-12-04,Ipswich,E1,8,5,5,12,D,3,Ipswich_Middlesbrough_2015
218,1,Huddersfield,13,0,0,2,0,S Martin,0,1,2,10,A,13,2015-12-05,Birmingham,E1,2,2,8,6,A,5,Birmingham_Huddersfield_2015
219,1,Cardiff,14,2,0,3,1,T Harrington,1,1,2,12,A,16,2015-12-05,Bolton,E1,7,5,4,18,D,5,Bolton_Cardiff_2015
220,1,Milton Keynes Dons,12,2,0,0,1,O Langford,0,0,1,7,H,9,2015-12-05,Brentford,E1,3,6,7,19,H,4,Brentford_Milton Keynes Dons_2015
221,3,Charlton,6,3,1,2,0,K Stroud,0,2,4,17,H,7,2015-12-05,Brighton,E1,5,7,11,21,A,1,Brighton_Charlton_2015
222,0,Blackburn,12,0,0,2,0,G Eltringham,1,0,1,13,A,14,2015-12-05,Bristol City,E1,7,1,4,7,D,4,Bristol City_Blackburn_2015
223,2,Preston,11,0,0,2,0,K Friend,0,0,2,12,A,10,2015-12-05,Burnley,E1,3,2,9,8,D,3,Burnley_Preston_2015
224,3,Hull,10,2,0,1,2,C Kavanagh,0,0,0,9,H,16,2015-12-05,Leeds,E1,5,6,2,11,H,6,Leeds_Hull_2015
225,0,Fulham,11,3,0,0,1,C Boyeson,0,0,0,10,H,11,2015-12-05,Nott'm Forest,E1,4,5,6,11,H,7,Nott'm Forest_Fulham_2015
226,0,Wolves,6,1,0,2,1,D Deadman,0,2,1,6,A,12,2015-12-05,Rotherham,E1,5,2,5,13,A,7,Rotherham_Wolves_2015
227,4,Derby,13,0,0,0,0,G Scott,0,0,2,9,D,8,2015-12-06,Sheffield Weds,E1,2,1,5,10,D,2,Sheffield Weds_Derby_2015
228,0,Rotherham,15,1,0,0,1,T Harrington,0,0,1,12,H,11,2015-12-11,Blackburn,E1,3,4,7,7,H,4,Blackburn_Rotherham_2015
229,2,Nott'm Forest,8,1,0,1,1,K Stroud,0,0,4,16,D,10,2015-12-11,Wolves,E1,3,4,7,14,H,5,Wolves_Nott'm Forest_2015
230,3,Sheffield Weds,12,2,0,2,2,C Breakspear,0,0,1,10,D,14,2015-12-12,Cardiff,E1,6,6,3,15,H,6,Cardiff_Sheffield Weds_2015
231,3,Leeds,12,0,0,0,0,A Davies,0,0,5,11,D,18,2015-12-12,Charlton,E1,3,6,4,14,D,8,Charlton_Leeds_2015
232,1,Brighton,9,2,0,2,1,L Mason,0,1,1,11,D,8,2015-12-12,Derby,E1,3,7,7,19,D,4,Derby_Brighton_2015
233,2,Brentford,11,2,0,2,1,D Coote,0,1,2,9,D,14,2015-12-12,Fulham,E1,6,3,10,8,D,4,Fulham_Brentford_2015
234,1,Bristol City,10,1,0,2,0,J Simpson,0,2,2,9,A,11,2015-12-12,Huddersfield,E1,5,7,7,23,A,2,Huddersfield_Bristol City_2015
235,2,Bolton,17,1,0,0,1,M Bull,0,0,2,16,H,8,2015-12-12,Hull,E1,2,5,2,11,H,1,Hull_Bolton_2015
236,2,Birmingham,10,0,0,0,0,D Bond,1,0,2,8,D,15,2015-12-12,Middlesbrough,E1,3,7,8,20,D,7,Middlesbrough_Birmingham_2015
237,0,Ipswich,8,0,0,1,0,G Ward,0,1,3,17,A,10,2015-12-12,Milton Keynes Dons,E1,2,5,14,20,A,2,Milton Keynes Dons_Ipswich_2015
238,0,Reading,13,1,0,0,0,G Eltringham,0,0,3,17,H,11,2015-12-12,Preston,E1,3,4,4,15,D,4,Preston_Reading_2015
239,0,Burnley,8,0,0,0,0,S Atwell,0,0,0,6,D,9,2015-12-12,QPR,E1,2,4,6,17,D,5,QPR_Burnley_2015
240,3,Nott'm Forest,9,0,0,0,0,C Kavanagh,0,0,2,7,D,10,2015-12-14,Blackburn,E1,3,5,8,10,D,1,Blackburn_Nott'm Forest_2015
241,1,Brentford,11,3,0,2,2,S Hooper,0,0,1,8,H,10,2015-12-15,Cardiff,E1,4,8,4,16,H,9,Cardiff_Brentford_2015
242,3,Bolton,14,2,0,2,2,G Horwood,0,2,1,14,D,18,2015-12-15,Charlton,E1,6,5,3,12,D,8,Charlton_Bolton_2015
243,1,Bristol City,14,4,0,0,1,A Woolmer,0,0,1,10,H,6,2015-12-15,Derby,E1,1,6,5,15,H,3,Derby_Bristol City_2015
244,0,Ipswich,5,1,0,2,1,T Kettle,0,1,0,9,A,11,2015-12-15,Fulham,E1,4,2,10,15,D,5,Fulham_Ipswich_2015
245,1,Rotherham,14,2,0,0,1,M Brown,0,0,1,11,H,11,2015-12-15,Huddersfield,E1,3,3,5,11,H,4,Huddersfield_Rotherham_2015
246,0,Burnley,5,1,0,0,0,G Eltringham,0,0,2,16,H,7,2015-12-15,Middlesbrough,E1,2,5,7,17,D,2,Middlesbrough_Burnley_2015
247,0,Sheffield Weds,8,2,0,1,1,D Deadman,0,0,2,13,H,8,2015-12-15,Milton Keynes Dons,E1,2,3,6,9,H,3,Milton Keynes Dons_Sheffield Weds_2015
248,2,Birmingham,14,1,0,1,1,K Wright,0,0,3,12,D,18,2015-12-15,Preston,E1,6,4,5,10,H,7,Preston_Birmingham_2015
249,3,Brighton,10,2,1,2,0,P Tierney,0,0,0,10,D,14,2015-12-15,QPR,E1,6,7,10,21,D,7,QPR_Brighton_2015
250,1,Reading,13,2,0,1,0,O Langford,0,1,1,7,H,9,2015-12-16,Hull,E1,3,10,6,16,A,3,Hull_Reading_2015
251,0,Leeds,4,2,0,3,1,S Atwell,0,1,1,10,A,14,2015-12-17,Wolves,E1,6,3,6,10,D,2,Wolves_Leeds_2015
252,3,Cardiff,12,1,0,0,1,K Stroud,0,0,1,14,H,10,2015-12-18,Birmingham,E1,3,3,7,14,H,4,Birmingham_Cardiff_2015
253,0,Fulham,9,2,0,2,0,N Miller,0,1,1,9,D,13,2015-12-19,Bolton,E1,4,3,5,16,A,5,Bolton_Fulham_2015
254,1,Huddersfield,12,4,0,2,3,P Gibbs,0,0,2,11,H,11,2015-12-19,Brentford,E1,4,8,5,11,H,5,Brentford_Huddersfield_2015
255,0,Middlesbrough,6,0,0,3,0,C Pawson,0,2,1,7,A,10,2015-12-19,Brighton,E1,6,2,3,14,A,4,Brighton_Middlesbrough_2015
256,0,QPR,5,1,0,1,0,M Haywood,0,0,0,6,D,8,2015-12-19,Bristol City,E1,4,5,7,11,D,5,Bristol City_QPR_2015
257,0,Charlton,7,4,0,0,1,P Tierney,0,0,0,7,H,12,2015-12-19,Burnley,E1,6,7,7,19,H,5,Burnley_Charlton_2015
258,2,Derby,8,0,0,1,0,K Hill,0,1,2,11,A,7,2015-12-19,Ipswich,E1,4,2,9,11,A,3,Ipswich_Derby_2015
259,1,Milton Keynes Dons,12,2,0,1,2,S Hooper,0,0,1,9,H,13,2015-12-19,Nott'm Forest,E1,4,4,4,12,H,6,Nott'm Forest_Milton Keynes Dons_2015
