,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
272,3.1,1.55,4.5,-0.75,1.72,4.33,4.33,4.5,4.333,1.667,4.4,3.25,1.727,1.72,1.73,3.25,5.0,1.85,1.75,3.25,1.975,1.925,2.0,-0.75,1.65,3.4,3.25,3.2,2.0,Lens,Bastia,Lens_Bastia_2003
273,3.4,1.6,5.0,-0.75,1.57,5.5,5.5,5.5,5.5,1.615,5.5,3.4,1.571,1.53,1.57,3.4,4.8,2.0,1.6,3.4,1.85,2.05,2.2,-0.75,1.55,3.3,3.25,3.3,1.85,Nantes,Metz,Nantes_Metz_2003
274,3.2,1.75,4.333,-0.5,1.75,4.2,4.2,4.33,4.333,1.8,4.55,3.25,1.727,1.72,1.75,3.25,4.4,1.77,1.75,3.25,1.8,2.1,2.2,-0.75,1.55,3.0,3.0,3.1,2.1,Nice,Rennes,Nice_Rennes_2003
275,3.0,2.4,2.75,0.0,2.37,2.7,2.7,2.8,2.75,2.375,2.8,3.0,2.375,2.3,2.38,3.1,2.7,1.8,2.35,3.1,1.85,2.05,1.95,-0.25,1.71,2.9,3.0,3.05,2.05,Sochaux,Lyon,Sochaux_Lyon_2003
276,3.0,2.5,2.6,0.0,2.5,2.6,2.6,2.7,2.5,2.375,2.6,3.2,2.5,2.37,2.5,3.0,2.6,1.4,2.5,3.0,1.9,2.0,2.0,-0.5,1.65,2.9,3.2,3.05,2.5,Auxerre,Monaco,Auxerre_Monaco_2003
277,3.3,1.7,4.5,-0.75,1.61,5.0,5.0,5.5,5.0,1.667,5.25,3.2,1.667,1.57,1.62,3.4,4.4,1.85,1.65,3.4,1.975,1.925,1.95,-0.75,1.71,3.1,3.25,3.2,2.0,Marseille,Strasbourg,Marseille_Strasbourg_2003
278,3.0,2.6,2.625,0.0,2.5,2.6,2.6,2.7,2.6,2.5,2.7,3.2,2.4,2.37,2.5,3.0,2.6,1.44,2.45,3.0,1.9,2.0,2.2,-0.5,1.55,2.8,2.875,3.0,2.35,Toulouse,Bordeaux,Toulouse_Bordeaux_2003
279,3.2,2.0,3.75,-0.5,2.05,3.3,3.3,3.75,3.5,1.909,3.4,3.0,2.0,1.83,2.05,3.1,3.4,1.59,2.0,3.1,2.125,1.775,2.2,-0.5,1.55,2.9,3.0,3.0,2.0,Toulouse,Guingamp,Toulouse_Guingamp_2003
280,3.3,1.6,4.5,-0.75,1.61,5.0,5.0,5.0,5.0,1.667,4.75,3.2,1.667,1.61,1.62,3.4,4.8,1.9,1.62,3.4,2.0,1.9,2.2,-0.75,1.55,3.3,3.25,3.4,1.95,Bastia,Le Mans,Bastia_Le Mans_2003
281,2.87,2.0,4.0,-0.5,2.0,3.5,3.5,4.0,3.5,1.833,3.4,3.0,2.0,1.9,2.0,3.0,3.4,1.59,2.0,3.0,2.1,1.8,2.2,-0.5,1.55,2.9,3.0,3.0,2.0,Bordeaux,Nice,Bordeaux_Nice_2003
282,3.0,2.1,3.4,-0.5,2.05,3.4,3.4,3.4,3.5,2.0,3.4,3.0,2.0,2.0,2.05,3.0,3.2,1.59,2.0,3.0,2.125,1.775,2.2,-0.5,1.55,2.9,3.0,3.0,2.0,Lille,Lens,Lille_Lens_2003
283,3.3,1.55,5.0,-0.75,1.61,5.0,5.0,5.0,5.0,1.615,5.0,3.4,1.615,1.61,1.62,3.4,5.0,1.9,1.62,3.4,2.025,1.875,1.95,-0.75,1.71,3.4,3.25,3.25,1.95,Lyon,Nantes,Lyon_Nantes_2003
284,3.0,2.3,2.875,-0.25,2.25,3.0,3.0,3.2,3.0,2.25,2.9,3.0,2.25,2.1,2.25,3.0,2.8,1.8,2.3,3.0,2.075,1.825,2.1,-0.25,1.6,2.9,3.0,2.9,2.05,Metz,Strasbourg,Metz_Strasbourg_2003
285,3.2,1.7,4.333,-0.75,1.61,5.0,5.0,4.33,4.5,1.727,4.75,3.4,1.667,1.72,1.62,3.4,4.4,1.77,1.65,3.4,2.125,1.775,1.95,-0.75,1.71,3.1,3.2,3.25,2.1,Monaco,Sochaux,Monaco_Sochaux_2003
286,3.0,3.1,2.0,0.25,3.2,2.1,2.1,2.1,2.1,3.4,2.15,3.25,3.0,3.2,3.2,3.1,2.1,1.95,3.1,3.1,2.0,1.9,2.1,0.25,1.6,3.0,3.0,3.0,1.9,Montpellier,Auxerre,Montpellier_Auxerre_2003
287,4.0,1.3,9.0,-1.25,1.33,8.5,8.5,8.0,8.5,1.3,7.5,4.0,1.333,1.33,1.33,4.0,8.5,2.05,1.3,4.0,1.8,2.1,1.85,-1.25,1.79,4.0,4.0,4.5,1.8,Paris SG,Ajaccio,Paris SG_Ajaccio_2003
288,3.0,2.4,2.625,0.0,2.4,2.75,2.75,2.7,2.6,2.5,2.75,3.2,2.4,2.37,2.4,3.0,2.7,1.77,2.4,3.0,1.85,2.05,2.0,-0.25,1.65,2.9,2.875,2.9,2.1,Rennes,Marseille,Rennes_Marseille_2003
