,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
25,0,B1,Louvieroise,D,1,2004-08-22,A,FC Brussels,1,1,FC Brussels_Louvieroise_2004
26,0,B1,Lokeren,H,0,2004-08-22,D,Genk,2,1,Genk_Lokeren_2004
27,0,B1,Genk,H,0,2004-08-27,D,Louvieroise,2,0,Louvieroise_Genk_2004
28,1,B1,Gent,H,0,2004-08-28,H,Anderlecht,2,0,Anderlecht_Gent_2004
29,1,B1,Oostende,H,0,2004-08-28,H,Bergen,2,0,Bergen_Oostende_2004
30,0,B1,Lierse,H,0,2004-08-28,D,Club Brugge,1,0,Club Brugge_Lierse_2004
31,0,B1,Mouscron,D,0,2004-08-28,D,Lokeren,1,1,Lokeren_Mouscron_2004
32,0,B1,FC Brussels,A,1,2004-08-28,A,Standard,1,3,Standard_FC Brussels_2004
33,1,B1,Cercle Brugge,A,0,2004-08-28,H,Westerlo,1,2,Westerlo_Cercle Brugge_2004
34,0,B1,Charleroi,A,1,2004-08-29,A,Germinal,0,1,Germinal_Charleroi_2004
35,0,B1,Beveren,A,0,2004-08-29,D,St Truiden,0,1,St Truiden_Beveren_2004
36,0,B1,Club Brugge,A,0,2004-09-11,D,Charleroi,0,1,Charleroi_Club Brugge_2004
37,0,B1,Westerlo,A,0,2004-09-11,D,FC Brussels,0,1,FC Brussels_Westerlo_2004
38,1,B1,St Truiden,H,0,2004-09-11,H,Gent,2,1,Gent_St Truiden_2004
39,1,B1,Bergen,H,0,2004-09-11,H,Lierse,4,1,Lierse_Bergen_2004
40,0,B1,Anderlecht,A,1,2004-09-11,A,Oostende,1,3,Oostende_Anderlecht_2004
41,0,B1,Germinal,H,1,2004-09-12,A,Cercle Brugge,2,1,Cercle Brugge_Germinal_2004
42,0,B1,Standard,D,0,2004-09-12,D,Genk,1,1,Genk_Standard_2004
43,1,B1,Louvieroise,H,0,2004-09-12,H,Lokeren,1,0,Lokeren_Louvieroise_2004
44,1,B1,Beveren,H,0,2004-09-12,H,Mouscron,1,0,Mouscron_Beveren_2004
45,1,B1,Mouscron,H,1,2004-09-17,D,Louvieroise,3,1,Louvieroise_Mouscron_2004
46,2,B1,Lierse,H,0,2004-09-18,H,Anderlecht,5,1,Anderlecht_Lierse_2004
47,0,B1,Charleroi,A,0,2004-09-18,D,Bergen,0,1,Bergen_Charleroi_2004
48,0,B1,FC Brussels,H,0,2004-09-18,D,Germinal,2,0,Germinal_FC Brussels_2004
49,0,B1,Oostende,D,0,2004-09-18,D,St Truiden,0,0,St Truiden_Oostende_2004
50,0,B1,Genk,D,0,2004-09-18,D,Westerlo,0,0,Westerlo_Genk_2004
51,1,B1,Gent,A,1,2004-09-19,D,Beveren,1,2,Beveren_Gent_2004
52,1,B1,Cercle Brugge,H,0,2004-09-19,H,Club Brugge,5,0,Club Brugge_Cercle Brugge_2004
53,1,B1,Lokeren,H,0,2004-09-19,H,Standard,1,0,Standard_Lokeren_2004
