,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
348,4,0,0,0,3,0,E0,D,M Dean,Crystal Palace,4,2,Newcastle,11,9,10,0,1,8,12,0,30/04/2016,H,Newcastle_Crystal Palace_2015
349,2,0,1,0,5,0,E0,D,C Pawson,Sunderland,3,2,Stoke,13,14,11,0,1,8,13,2,30/04/2016,D,Stoke_Sunderland_2015
350,8,0,2,1,2,1,E0,D,A Taylor,Aston Villa,6,2,Watford,14,7,18,1,3,4,10,3,30/04/2016,H,Watford_Aston Villa_2015
351,8,0,3,0,4,0,E0,A,L Mason,West Ham,5,0,West Brom,14,8,15,2,0,6,7,0,30/04/2016,A,West Brom_West Ham_2015
352,6,0,1,1,3,1,E0,D,M Oliver,Leicester,6,3,Man United,16,14,21,1,1,5,10,0,01/05/2016,D,Man United_Leicester_2015
353,8,0,2,2,5,0,E0,H,A Marriner,Man City,7,2,Southampton,12,6,14,1,4,2,9,1,01/05/2016,H,Southampton_Man City_2015
354,4,0,1,2,3,1,E0,H,R East,Liverpool,9,2,Swansea,12,11,18,0,3,7,13,2,01/05/2016,H,Swansea_Liverpool_2015
355,7,0,2,0,5,0,E0,A,M Clattenburg,Tottenham,5,3,Chelsea,9,16,13,2,2,8,20,9,02/05/2016,D,Chelsea_Tottenham_2015
356,0,0,0,0,3,0,E0,D,R Madley,Newcastle,0,1,Aston Villa,8,9,2,0,0,5,13,1,07/05/2016,D,Aston Villa_Newcastle_2015
357,5,0,1,0,4,0,E0,A,M Clattenburg,West Brom,4,2,Bournemouth,5,12,12,1,1,3,8,1,07/05/2016,D,Bournemouth_West Brom_2015
358,4,0,1,0,3,0,E0,A,K Friend,Stoke,4,2,Crystal Palace,8,12,17,1,2,3,18,3,07/05/2016,H,Crystal Palace_Stoke_2015
359,12,0,1,2,5,0,E0,H,A Marriner,Everton,8,0,Leicester,4,9,32,0,3,4,12,3,07/05/2016,H,Leicester_Everton_2015
360,1,0,1,0,2,0,E0,D,C Pawson,Man United,2,1,Norwich,11,15,8,0,0,6,10,0,07/05/2016,A,Norwich_Man United_2015
361,3,0,2,1,8,1,E0,A,M Jones,Chelsea,4,4,Sunderland,11,9,15,2,3,3,9,1,07/05/2016,H,Sunderland_Chelsea_2015
362,13,0,4,0,6,0,E0,A,M Oliver,Swansea,7,3,West Ham,11,13,25,2,1,3,8,0,07/05/2016,A,West Ham_Swansea_2015
363,8,0,0,1,3,0,E0,H,L Mason,Watford,5,1,Liverpool,10,14,19,0,2,8,15,2,08/05/2016,H,Liverpool_Watford_2015
364,7,0,2,1,2,0,E0,D,A Taylor,Arsenal,3,2,Man City,16,5,14,1,2,2,10,1,08/05/2016,D,Man City_Arsenal_2015
365,10,0,2,1,2,0,E0,D,J Moss,Southampton,6,0,Tottenham,8,10,20,1,1,2,16,3,08/05/2016,A,Tottenham_Southampton_2015
366,6,0,2,1,2,0,E0,H,M Dean,Man United,6,1,West Ham,6,3,20,0,3,2,18,3,10/05/2016,H,West Ham_Man United_2015
367,7,0,1,0,7,0,E0,A,M Oliver,Chelsea,9,3,Liverpool,11,13,28,1,1,3,12,1,11/05/2016,D,Liverpool_Chelsea_2015
368,5,0,2,3,7,0,E0,H,R East,Watford,6,2,Norwich,8,12,18,1,4,1,12,3,11/05/2016,H,Norwich_Watford_2015
369,5,0,0,2,6,0,E0,H,A Taylor,Everton,8,1,Sunderland,15,17,14,0,3,5,7,0,11/05/2016,H,Sunderland_Everton_2015
370,5,0,0,1,2,0,E0,H,M Clattenburg,Aston Villa,7,0,Arsenal,12,5,16,0,4,4,6,1,15/05/2016,H,Arsenal_Aston Villa_2015
371,7,0,1,0,5,0,E0,D,C Pawson,Leicester,4,0,Chelsea,4,18,17,0,1,6,12,0,15/05/2016,D,Chelsea_Leicester_2015
372,4,0,0,2,2,0,E0,H,L Mason,Norwich,8,0,Everton,7,10,15,0,3,11,11,0,15/05/2016,H,Everton_Norwich_2015
373,3,1,1,2,5,0,E0,H,A Taylor,Tottenham,10,1,Newcastle,7,17,19,0,5,8,6,2,15/05/2016,H,Newcastle_Tottenham_2015
374,2,0,1,1,4,0,E0,H,M Oliver,Crystal Palace,5,1,Southampton,7,16,18,0,4,5,14,2,15/05/2016,H,Southampton_Crystal Palace_2015
375,4,0,1,0,7,0,E0,A,M Jones,West Ham,4,3,Stoke,8,20,7,1,2,10,12,1,15/05/2016,H,Stoke_West Ham_2015
376,4,0,1,1,5,0,E0,D,M Dean,Man City,1,1,Swansea,4,18,4,1,1,4,19,3,15/05/2016,D,Swansea_Man City_2015
377,7,0,2,0,4,0,E0,A,K Friend,Sunderland,6,1,Watford,11,6,21,1,2,4,10,0,15/05/2016,D,Watford_Sunderland_2015
378,7,0,1,1,3,0,E0,D,R Madley,Liverpool,1,3,West Brom,11,7,13,1,1,5,14,1,15/05/2016,D,West Brom_Liverpool_2015
379,7,0,1,1,0,0,E0,H,J Moss,Bournemouth,5,1,Man United,9,7,12,0,3,1,8,0,17/05/2016,H,Man United_Bournemouth_2015
