,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
175,3.1,2.9,2.38,0.25,3.0,2.3,3.3,0.25,2.37,2.37,2.6,2.38,3.0,2.75,1.75,2.04,2.62,2.0,1.8,3.35,2.05,2.2,2.0,2.9,3.0,1.8,2.1,1.85,-0.5,1.85,3.0,3.2,3.2,1.8,Mallorca,La Coruna,Mallorca_La Coruna_2004
176,3.2,1.85,4.0,-0.5,1.91,3.75,3.2,-0.5,3.75,3.75,1.8,4.25,3.2,1.83,1.61,1.94,1.83,3.65,1.9,1.95,2.25,3.6,1.86,1.85,3.2,1.899,2.0,2.0,-0.5,1.71,3.1,3.2,3.3,1.85,Santander,Malaga,Santander_Malaga_2004
177,3.3,1.7,4.5,-0.75,1.67,4.75,3.3,-0.75,4.5,4.5,1.67,5.0,3.4,1.66,1.7,1.84,1.66,4.75,2.0,1.7,2.1,4.2,1.9,1.73,3.4,2.0,1.899,1.95,-0.75,1.75,3.2,3.25,3.35,1.9,Sociedad,Albacete,Sociedad_Albacete_2004
178,3.1,3.5,1.73,0.5,4.2,1.83,3.3,0.5,1.8,1.9,4.33,2.0,3.25,4.0,1.75,2.02,4.0,1.8,1.82,4.1,2.05,1.9,2.0,3.75,3.4,1.8,2.1,2.05,0.5,1.65,3.1,3.2,3.2,1.73,Villarreal,Barcelona,Villarreal_Barcelona_2004
179,3.1,2.2,3.0,-0.25,2.25,2.9,3.2,-0.25,2.87,2.8,2.1,3.1,3.25,2.2,1.75,1.88,2.2,2.8,1.96,2.3,2.05,3.0,1.85,2.25,3.2,2.0,1.899,1.95,-0.25,1.75,2.9,3.2,3.2,1.95,Zaragoza,Betis,Zaragoza_Betis_2004
180,3.1,2.4,2.75,0.0,2.5,2.6,3.2,0.0,2.62,2.62,2.25,2.6,3.2,2.37,1.61,1.88,2.37,2.4,1.96,2.7,2.25,2.6,1.85,2.6,3.2,1.975,1.925,2.05,0.0,1.65,3.0,3.2,3.2,1.95,Getafe,Ath Madrid,Getafe_Ath Madrid_2004
181,3.0,2.6,2.25,0.0,2.9,2.4,3.15,0.0,2.37,2.37,2.75,2.4,3.1,3.0,1.65,1.72,2.7,2.55,2.12,2.55,2.2,2.4,1.75,2.9,3.1,2.1,1.8,2.05,0.0,1.65,3.0,3.2,3.15,2.05,Malaga,Sevilla,Malaga_Sevilla_2004
182,3.1,1.9,3.5,-0.25,2.0,3.5,3.25,-0.25,3.6,3.25,1.91,3.55,3.25,2.0,1.61,2.12,1.9,3.15,1.72,2.1,2.25,3.6,2.05,2.05,3.2,1.75,2.149,2.05,-0.25,1.65,3.0,3.2,3.2,1.75,Albacete,Santander,Albacete_Santander_2004
183,3.1,2.0,3.75,-0.5,1.91,3.75,3.3,-0.5,3.6,3.25,1.83,3.75,3.25,2.0,1.65,1.9,1.9,3.65,1.94,1.9,2.2,3.3,1.73,2.0,3.25,2.0,1.899,2.0,-0.5,1.71,3.0,3.2,3.2,2.0,Ath Bilbao,Espanol,Ath Bilbao_Espanol_2004
184,4.0,1.33,8.0,-1.25,1.33,9.0,4.75,-1.25,8.0,9.5,1.36,8.5,4.5,1.33,2.0,2.08,1.33,8.2,1.76,1.3,1.8,7.5,1.67,1.35,4.5,1.8,2.1,1.65,-1.5,2.05,4.0,3.75,4.5,1.9,Barcelona,Sociedad,Barcelona_Sociedad_2004
185,3.3,1.6,5.5,-0.75,1.62,5.0,3.5,-0.75,5.5,5.5,1.53,5.5,3.4,1.57,1.8,1.96,1.57,5.25,1.88,1.6,2.0,4.8,1.95,1.66,3.5,1.95,1.95,1.85,-0.75,1.85,3.3,3.5,3.4,1.85,Betis,Mallorca,Betis_Mallorca_2004
186,3.6,1.4,6.5,-1.25,1.4,7.5,4.0,-1.25,6.5,6.5,1.44,7.5,3.75,1.44,1.85,1.82,1.44,7.25,2.02,1.4,1.95,6.5,1.8,1.44,4.0,2.049,1.85,1.85,-1.25,1.85,3.7,3.6,4.0,2.0,La Coruna,Numancia,La Coruna_Numancia_2004
187,3.1,2.55,2.62,0.0,2.4,2.8,3.2,0.0,2.62,2.3,2.5,2.85,3.2,2.4,1.57,2.02,2.37,2.75,1.82,2.35,2.35,2.55,2.0,2.4,3.1,1.85,2.049,2.05,0.0,1.65,2.9,2.88,3.2,1.8,Levante,Villarreal,Levante_Villarreal_2004
188,3.1,3.0,2.38,0.25,2.9,2.25,3.2,0.25,2.4,2.3,2.6,2.35,3.2,2.7,1.65,2.0,2.6,2.3,1.84,2.8,2.2,2.2,2.0,2.95,3.2,1.899,2.0,2.0,0.25,1.71,2.9,3.2,3.2,1.8,Osasuna,Valencia,Osasuna_Valencia_2004
189,4.33,1.3,8.0,-1.25,1.33,9.0,4.75,-1.25,8.0,8.0,1.36,8.5,4.5,1.36,2.0,2.08,1.3,8.2,1.76,1.3,1.8,8.0,1.67,1.35,4.5,1.774,2.125,1.6,-1.5,2.15,4.2,3.75,4.5,1.9,Real Madrid,Zaragoza,Real Madrid_Zaragoza_2004
190,3.1,2.0,4.0,-0.5,1.85,4.0,3.3,-0.5,4.0,3.75,1.8,4.15,3.25,1.83,1.8,1.96,1.8,3.85,1.88,1.85,2.0,3.3,1.84,1.87,3.25,1.899,2.0,1.79,-0.5,1.9,3.0,3.2,3.3,1.87,Ath Bilbao,Osasuna,Ath Bilbao_Osasuna_2004
191,5.0,1.22,10.0,-1.75,1.22,12.0,5.25,-1.75,11.0,10.0,1.25,11.5,5.5,1.25,2.2,1.76,1.2,9.0,2.08,1.25,1.65,9.5,1.8,1.25,5.5,2.1,1.8,1.6,-1.75,2.15,4.8,4.5,5.25,2.0,Barcelona,Santander,Barcelona_Santander_2004
192,2.9,2.5,2.38,0.0,2.6,2.6,3.15,0.0,2.62,2.62,2.6,2.6,3.1,2.4,1.61,1.96,2.5,2.6,1.88,2.5,2.25,2.6,1.95,2.6,3.0,1.899,2.0,2.05,0.0,1.65,2.9,3.2,3.2,1.85,Albacete,Sevilla,Albacete_Sevilla_2004
193,3.6,1.45,8.0,-1.0,1.44,7.0,3.6,-1.0,7.5,6.5,1.33,7.0,3.75,1.44,1.75,2.02,1.4,6.4,1.82,1.5,2.05,5.8,2.0,1.5,3.75,1.8,2.1,1.95,-1.0,1.75,3.6,4.0,3.7,1.8,Betis,Numancia,Betis_Numancia_2004
194,3.2,2.2,2.88,-0.25,2.3,2.8,3.2,0.0,2.9,2.8,2.25,2.9,3.2,2.25,1.7,2.08,2.15,2.8,1.76,2.3,2.1,2.9,2.05,2.35,3.2,2.1,1.8,2.0,0.0,1.71,3.0,3.0,3.25,1.75,Getafe,Zaragoza,Getafe_Zaragoza_2004
195,3.0,1.8,2.88,-0.25,2.0,3.4,3.25,-0.25,3.0,3.25,2.25,3.2,3.25,2.0,1.75,2.0,2.2,3.15,1.84,2.1,2.05,3.8,2.0,2.2,3.25,2.0,1.899,2.0,-0.25,1.71,3.1,3.0,3.2,1.8,La Coruna,Espanol,La Coruna_Espanol_2004
196,3.1,2.2,2.6,0.0,2.3,2.8,3.2,0.0,2.75,2.8,2.38,2.85,3.2,2.25,1.75,2.08,2.3,2.8,1.76,2.3,2.05,2.9,2.0,2.4,3.2,1.8,2.1,1.95,0.0,1.75,3.0,3.2,3.2,1.8,Levante,Sociedad,Levante_Sociedad_2004
