,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
101,3.3,1.7,5.0,-0.75,1.61,5.0,4.5,-0.5,5.5,4.5,1.615,4.85,3.4,1.66,1.9,2.05,1.57,1.67,3.4,1.8,1.8,4.2,2.0,1.65,3.4,1.925,1.975,1.65,-0.75,2.0,3.2,3.25,3.5,1.8,La Coruna,Sociedad,La Coruna_Sociedad_2003
102,3.0,2.5,2.75,-0.25,2.3,2.8,2.75,-0.25,2.7,2.75,2.25,2.88,3.25,2.25,1.72,1.8,2.37,2.25,3.25,2.05,2.0,2.5,1.8,2.28,3.1,2.05,1.85,1.95,-0.25,1.71,3.0,3.2,3.15,2.0,Zaragoza,Celta,Zaragoza_Celta_2003
103,3.1,2.1,3.2,-0.25,2.2,3.0,3.0,-0.25,3.1,2.75,2.0,3.15,3.25,2.25,1.75,1.85,2.1,2.2,3.1,2.0,1.95,3.1,1.8,2.15,3.1,2.05,1.85,1.83,-0.25,1.83,3.0,3.2,3.15,2.0,Albacete,Malaga,Albacete_Malaga_2003
104,3.25,1.75,4.333,-0.5,1.8,4.0,4.0,-0.5,4.2,4.33,1.727,4.25,3.25,1.72,1.9,1.95,1.72,1.8,3.25,1.9,1.8,4.0,2.0,1.8,3.25,1.95,1.95,1.75,-0.5,1.9,3.2,3.2,3.2,1.8,Ath Madrid,Villarreal,Ath Madrid_Villarreal_2003
105,3.3,1.55,5.5,-1.0,1.53,5.5,5.5,-1.0,5.0,5.0,1.533,5.25,3.4,1.61,1.9,1.85,1.61,1.53,3.5,2.0,1.8,4.8,1.8,1.6,3.5,2.1,1.8,1.6,-1.0,2.1,3.5,3.5,3.5,2.0,Barcelona,Betis,Barcelona_Betis_2003
106,3.1,1.8,4.0,-0.5,1.8,4.0,4.0,-0.5,4.0,3.75,1.8,3.75,3.25,1.83,1.75,1.95,1.8,1.8,3.25,1.9,1.95,3.8,1.9,1.9,3.25,1.9,2.0,1.83,-0.5,1.83,3.1,3.2,3.25,1.9,Mallorca,Murcia,Mallorca_Murcia_2003
107,3.3,1.75,4.333,-0.5,1.8,4.0,4.0,,4.5,4.0,1.727,4.2,3.25,1.8,1.7,,1.66,1.8,3.25,,2.05,4.0,2.0,1.8,3.25,1.9,2.0,1.9,-0.5,1.75,3.2,3.2,3.25,1.8,Osasuna,Valladolid,Osasuna_Valladolid_2003
108,3.2,4.4,1.667,0.75,4.5,1.66,1.67,0.75,1.72,1.61,4.5,1.72,3.4,5.0,1.95,1.9,4.33,4.5,3.4,1.95,1.75,1.65,1.9,4.45,3.4,2.025,1.875,1.71,0.75,1.95,3.3,3.25,3.4,1.9,Sevilla,Real Madrid,Sevilla_Real Madrid_2003
109,3.75,1.4,7.0,-1.25,1.4,7.5,7.5,-1.25,8.0,6.5,1.4,8.0,3.75,1.44,1.9,1.9,1.36,1.4,3.75,1.95,1.8,6.5,1.8,1.38,3.75,2.075,1.825,1.71,-1.25,1.95,3.7,3.75,4.0,2.0,Valencia,Santander,Valencia_Santander_2003
110,3.0,2.7,2.38,0.0,2.7,2.38,2.38,0.0,2.37,2.37,2.6,2.4,3.2,2.62,1.85,1.85,2.7,2.7,3.1,2.0,1.95,2.3,1.85,2.75,3.1,2.0,1.9,1.85,0.0,1.74,3.0,3.2,3.2,1.95,Betis,La Coruna,Betis_La Coruna_2003
111,3.2,1.7,5.0,-0.75,1.73,4.33,4.33,-0.75,4.33,4.33,1.62,4.5,3.25,1.72,1.95,1.9,1.72,1.73,3.25,1.95,1.85,4.2,1.8,1.75,3.25,1.95,1.95,1.7,-0.75,1.9,3.2,3.25,3.3,2.0,Sociedad,Mallorca,Sociedad_Mallorca_2003
112,3.1,2.7,2.25,0.25,2.8,2.25,2.25,0.25,2.37,2.3,2.75,2.4,3.2,2.7,1.9,2.05,2.62,2.8,3.2,1.8,1.9,2.4,2.0,2.75,3.2,1.8,2.1,2.0,0.25,1.61,2.9,3.2,3.2,1.8,Villarreal,Barcelona,Villarreal_Barcelona_2003
