,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
271,1,P1,Porto,A,1,2016-04-23,D,Academica,1,2,Academica_Porto_2015
272,1,P1,Sp Braga,H,0,2016-04-23,H,Pacos Ferreira,1,0,Pacos Ferreira_Sp Braga_2015
273,2,P1,Uniao Madeira,H,0,2016-04-23,H,Sp Lisbon,2,0,Sp Lisbon_Uniao Madeira_2015
274,0,P1,Estoril,D,0,2016-04-24,D,Guimaraes,1,1,Guimaraes_Estoril_2015
275,0,P1,Arouca,A,2,2016-04-24,A,Maritimo,1,2,Maritimo_Arouca_2015
276,0,P1,Moreirense,A,1,2016-04-24,A,Nacional,0,1,Nacional_Moreirense_2015
277,0,P1,Benfica,A,0,2016-04-24,D,Rio Ave,0,1,Rio Ave_Benfica_2015
278,0,P1,Tondela,A,0,2016-04-24,D,Setubal,0,1,Setubal_Tondela_2015
279,0,P1,Guimaraes,H,0,2016-04-29,D,Benfica,1,0,Benfica_Guimaraes_2015
280,1,P1,Setubal,H,1,2016-04-29,D,Sp Braga,3,2,Sp Braga_Setubal_2015
281,0,P1,Pacos Ferreira,A,1,2016-04-30,A,Belenenses,0,2,Belenenses_Pacos Ferreira_2015
282,1,P1,Sp Lisbon,A,2,2016-04-30,A,Porto,1,3,Porto_Sp Lisbon_2015
283,1,P1,Rio Ave,D,0,2016-04-30,H,Tondela,1,1,Tondela_Rio Ave_2015
284,2,P1,Nacional,H,0,2016-05-01,H,Arouca,3,0,Arouca_Nacional_2015
285,0,P1,Maritimo,H,1,2016-05-01,A,Estoril,2,1,Estoril_Maritimo_2015
286,1,P1,Boavista,D,1,2016-05-01,D,Moreirense,1,1,Moreirense_Boavista_2015
287,1,P1,Academica,H,0,2016-05-01,H,Uniao Madeira,3,1,Uniao Madeira_Academica_2015
288,1,P1,Tondela,A,1,2016-05-06,D,Pacos Ferreira,1,4,Pacos Ferreira_Tondela_2015
289,0,P1,Sp Braga,D,0,2016-05-07,D,Academica,0,0,Academica_Sp Braga_2015
290,1,P1,Porto,A,1,2016-05-07,D,Rio Ave,1,3,Rio Ave_Porto_2015
291,2,P1,Setubal,H,0,2016-05-07,H,Sp Lisbon,5,0,Sp Lisbon_Setubal_2015
292,1,P1,Uniao Madeira,H,0,2016-05-08,H,Boavista,1,0,Boavista_Uniao Madeira_2015
293,1,P1,Moreirense,H,1,2016-05-08,D,Guimaraes,4,1,Guimaraes_Moreirense_2015
294,0,P1,Benfica,A,0,2016-05-08,D,Maritimo,0,2,Maritimo_Benfica_2015
295,1,P1,Belenenses,D,0,2016-05-08,H,Nacional,2,2,Nacional_Belenenses_2015
296,0,P1,Arouca,D,1,2016-05-09,A,Estoril,1,1,Estoril_Arouca_2015
297,0,P1,Guimaraes,D,2,2016-05-14,A,Arouca,2,2,Arouca_Guimaraes_2015
298,2,P1,Estoril,H,1,2016-05-14,H,Belenenses,2,1,Belenenses_Estoril_2015
299,1,P1,Boavista,H,0,2016-05-14,H,Porto,4,0,Porto_Boavista_2015
300,0,P1,Pacos Ferreira,D,0,2016-05-14,D,Setubal,0,0,Setubal_Pacos Ferreira_2015
301,1,P1,Academica,H,0,2016-05-14,H,Tondela,2,0,Tondela_Academica_2015
302,1,P1,Rio Ave,A,0,2016-05-14,H,Uniao Madeira,1,2,Uniao Madeira_Rio Ave_2015
303,2,P1,Nacional,H,0,2016-05-15,H,Benfica,4,1,Benfica_Nacional_2015
304,1,P1,Maritimo,H,0,2016-05-15,H,Moreirense,2,1,Moreirense_Maritimo_2015
305,0,P1,Sp Lisbon,A,2,2016-05-15,A,Sp Braga,0,4,Sp Braga_Sp Lisbon_2015
