,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
190,4,0,2021-04-03,7,28,G1,2,2,6,0,0,19,1,6,3,1,5,15:15:00,Giannina,A,H,OFI Crete,1,OFI Crete_Giannina_2020
191,1,0,2021-04-03,4,20,G1,1,2,3,0,0,14,7,2,1,0,1,17:30:00,Volos NFC,D,D,Lamia,1,Lamia_Volos NFC_2020
192,4,1,2021-04-03,5,21,G1,1,3,13,0,0,18,5,8,3,0,9,17:30:00,Panetolikos,H,D,Larisa,1,Larisa_Panetolikos_2020
193,3,1,2021-04-04,9,18,G1,3,3,3,0,0,13,14,1,4,0,3,13:00:00,PAOK,H,H,Panathinaikos,0,Panathinaikos_PAOK_2020
194,1,0,2021-04-04,7,22,G1,2,2,10,0,0,19,5,4,2,0,7,15:15:00,Asteras Tripolis,D,H,Aris,0,Aris_Asteras Tripolis_2020
195,5,0,2021-04-04,6,10,G1,1,1,6,0,0,18,1,1,1,4,3,17:30:00,Olympiakos,A,A,AEK,5,AEK_Olympiakos_2020
196,8,3,2021-04-10,14,13,G1,3,0,9,0,0,20,6,4,1,1,7,13:00:00,Panetolikos,H,H,Volos NFC,1,Volos NFC_Panetolikos_2020
197,0,0,2021-04-10,3,13,G1,0,2,7,0,0,17,4,1,1,0,3,15:15:00,OFI Crete,D,D,Apollon,0,Apollon_OFI Crete_2020
198,3,0,2021-04-10,5,19,G1,0,2,8,0,0,16,4,4,7,1,3,17:30:00,Larisa,A,A,Atromitos,1,Atromitos_Larisa_2020
199,7,0,2021-04-11,7,22,G1,1,3,6,0,0,14,2,5,6,3,5,13:00:00,AEK,A,A,Aris,3,Aris_AEK_2020
200,4,0,2021-04-11,7,15,G1,1,2,4,0,0,14,4,2,4,0,2,15:15:00,PAOK,D,D,Asteras Tripolis,1,Asteras Tripolis_PAOK_2020
201,2,1,2021-04-11,5,20,G1,3,4,12,1,0,11,3,4,5,1,6,17:30:00,Panathinaikos,D,H,Olympiakos,1,Olympiakos_Panathinaikos_2020
