,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,BWD,GBH,WHA,GBAHA,WHH,BWH,B365H,GBA,SBD,LBAHH,WHD,LBAH,B365AH,LBD,BWA,B365D,SBH,GBD,IWH,B365>2.5,GBAHH,HomeTeam,AwayTeam,idGame
369,1.5,-0.75,6.0,5.4,5.5,1.9,1.79,2.025,6.0,,1.875,3.8,1.8,3.45,1.55,6.0,2.0,1.44,1.55,1.61,6.0,3.6,,3.75,,-0.75,3.4,6.0,3.6,1.57,3.45,1.45,2.0,1.8,Arsenal,Everton,Arsenal_Everton_2004
370,3.25,0.5,1.91,2.0,2.0,1.95,1.71,1.75,1.91,1.72,2.15,3.1,1.75,3.25,3.25,1.95,1.95,3.25,3.7,3.4,2.05,3.4,2.12,3.3,0.25,0.25,3.4,1.9,3.5,3.75,3.4,3.2,2.05,1.72,Birmingham,Arsenal,Birmingham_Arsenal_2004
371,2.0,-0.5,4.0,3.5,4.0,1.95,1.71,1.95,3.2,1.94,1.95,3.1,1.75,3.25,1.95,3.3,1.73,1.9,2.0,1.9,3.65,3.4,1.9,3.3,-0.5,-0.5,3.2,3.4,3.4,1.85,3.3,1.9,2.05,1.95,Bolton,Everton,Bolton_Everton_2004
372,2.6,0.5,2.2,,2.2,1.85,1.79,2.15,2.25,1.8,1.75,,1.9,3.45,2.75,2.25,2.25,2.6,2.8,3.0,2.25,3.6,2.04,3.4,0.25,0.5,3.4,2.2,3.5,2.88,3.5,,1.9,1.54,Charlton,Crystal Palace,Charlton_Crystal Palace_2004
373,2.75,0.25,2.2,,2.3,1.85,1.79,1.95,2.25,1.9,1.95,,1.95,3.4,2.8,2.25,1.9,2.6,2.75,2.8,2.25,3.6,1.94,3.4,0.25,0.25,3.2,2.25,3.5,2.88,3.45,,1.85,1.9,Fulham,Norwich,Fulham_Norwich_2004
374,1.57,-0.75,5.5,4.2,5.5,1.9,1.75,2.0,5.0,2.02,1.85,3.2,1.75,3.45,1.67,4.33,2.0,1.7,1.55,1.66,5.0,3.4,1.82,3.3,-0.75,-0.75,3.5,6.0,3.4,1.67,3.4,1.7,2.05,1.8,Liverpool,Aston Villa,Liverpool_Aston Villa_2004
375,2.0,-0.5,3.75,3.5,3.6,2.0,1.65,2.1,3.4,2.08,1.8,3.1,1.7,3.2,2.05,3.5,1.67,1.95,2.1,2.1,3.5,3.2,1.76,3.1,-0.25,-0.25,3.0,3.2,3.1,2.0,3.2,1.9,2.1,2.05,Man City,Middlesbrough,Man City_Middlesbrough_2004
376,3.6,0.5,2.1,2.1,2.2,1.95,1.71,1.8,1.8,1.78,2.1,2.9,1.7,3.2,3.0,2.1,2.15,2.8,3.6,3.2,2.15,3.4,2.06,3.4,0.25,0.25,3.4,1.95,3.25,3.2,3.4,3.2,2.1,1.59,Newcastle,Chelsea,Newcastle_Chelsea_2004
377,2.38,-0.25,2.62,2.9,2.62,1.83,1.83,1.8,2.38,1.98,2.1,3.4,1.95,3.5,2.3,2.5,1.75,2.3,2.45,2.37,2.65,3.75,1.86,3.4,0.0,-0.25,3.5,2.45,3.6,2.3,3.6,2.0,1.85,2.05,Southampton,Man United,Southampton_Man United_2004
378,1.4,-0.75,6.0,6.0,6.5,1.85,1.79,2.05,7.0,2.08,1.85,3.9,1.95,3.4,1.57,5.5,2.0,1.5,1.65,1.57,6.0,3.6,1.76,3.6,-0.75,-0.75,3.75,5.0,3.5,1.57,3.5,1.4,1.85,1.8,Tottenham,Blackburn,Tottenham_Blackburn_2004
379,1.62,-1.0,5.5,5.0,6.0,1.85,1.79,1.85,4.33,1.84,2.05,4.0,1.9,3.4,1.6,4.5,1.8,1.6,1.65,1.57,5.5,3.75,2.0,3.6,-1.0,-1.0,3.6,5.0,3.75,1.57,3.55,1.45,1.9,2.0,West Brom,Portsmouth,West Brom_Portsmouth_2004
