,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,GBH,SOH,WHA,GBAHA,SOA,WHH,GBA,B365H,SBD,LBAHH,WHD,LBAH,B365AH,LBD,SBH,B365D,GBD,IWH,B365>2.5,SOD,GBAHH,HomeTeam,AwayTeam,idGame
292,2.2,0.0,3.0,2.9,3.2,1.9,1.79,1.9,2.8,1.85,2.0,3.0,1.85,2.25,2.1,2.87,2.3,3.4,2.2,3.15,2.2,3.25,2.0,3.1,-0.25,-0.25,3.2,2.1,3.25,3.15,2.2,1.95,3.2,1.55,Charlton,Aston Villa,Charlton_Aston Villa_2003
293,1.2,-1.25,10.0,9.0,13.0,1.71,2.0,2.1,11.0,2.05,1.8,4.5,2.0,1.25,1.2,11.0,2.45,15.0,1.2,11.5,1.25,5.0,1.8,5.0,-1.5,-1.5,5.0,1.22,5.0,5.15,1.25,1.8,5.5,1.5,Chelsea,Wolves,Chelsea_Wolves_2003
294,2.2,0.0,2.87,3.2,3.2,1.95,1.75,1.95,2.8,2.0,1.95,3.1,1.8,2.2,2.2,3.1,2.3,3.1,2.1,3.2,2.2,3.2,1.85,3.1,-0.25,-0.25,3.2,2.2,3.25,3.2,2.0,2.0,3.25,1.55,Everton,Middlesbrough,Everton_Middlesbrough_2003
295,2.1,-0.25,3.25,3.5,3.5,1.85,1.85,1.9,3.0,1.85,2.0,3.1,1.9,2.05,2.1,3.4,2.05,3.2,1.9,3.5,2.0,3.25,2.0,3.25,-0.5,-0.5,3.2,2.0,3.4,3.3,1.9,1.9,3.4,1.7,Man City,Fulham,Man City_Fulham_2003
296,2.1,-0.25,2.87,3.5,3.1,1.95,1.75,2.0,3.0,1.95,1.9,3.1,1.8,2.2,2.2,2.8,1.95,3.1,2.2,3.15,2.25,3.2,1.9,3.2,-0.25,-0.25,3.2,2.2,3.2,3.25,1.9,2.0,3.25,1.9,Southampton,Tottenham,Southampton_Tottenham_2003
297,1.909,0.0,3.25,3.5,3.4,1.85,1.85,1.95,3.25,1.9,1.95,3.1,1.9,2.1,2.0,3.4,2.45,3.6,2.0,3.35,2.1,3.25,1.95,3.0,-0.25,-0.25,3.4,2.0,3.25,3.25,1.9,1.9,3.3,1.5,Arsenal,Man United,Arsenal_Man United_2003
298,2.75,-0.25,2.37,2.5,2.375,1.9,1.79,1.85,2.2,1.8,2.05,3.0,1.8,2.7,2.88,2.37,1.55,2.38,2.7,2.5,2.875,3.2,2.05,3.0,0.0,0.0,3.25,2.62,3.25,3.2,2.5,2.0,3.2,2.3,Bolton,Newcastle,Bolton_Newcastle_2003
299,3.75,0.75,2.0,1.9,2.1,1.9,1.79,2.05,1.8,2.0,1.85,3.1,1.85,3.6,3.6,2.1,2.3,2.0,3.1,2.0,3.4,3.25,1.85,3.1,0.5,0.5,3.25,3.25,3.25,3.3,3.5,1.95,3.3,1.55,Leicester,Liverpool,Leicester_Liverpool_2003
300,2.0,0.0,3.1,3.1,3.1,1.9,1.79,1.95,3.2,1.9,1.95,3.0,1.75,2.2,2.2,3.0,2.15,3.2,2.1,3.2,2.25,3.2,1.95,3.2,-0.25,-0.25,3.2,2.1,3.2,3.2,2.1,2.05,3.2,1.65,Fulham,Birmingham,Fulham_Birmingham_2003
301,1.8,-0.25,3.75,3.3,4.0,1.95,1.75,1.85,4.0,1.85,2.05,3.0,1.75,2.0,1.91,3.5,2.05,4.0,1.9,3.7,1.909,3.25,2.0,3.2,-0.5,-0.5,3.2,1.85,3.25,3.25,2.0,2.05,3.25,1.7,Middlesbrough,Bolton,Middlesbrough_Bolton_2003
